"lon","lat","Class"
-121.94,49.24,"A"
-117.8504,49.28569,"A"
-118.398,51.05747,"A"
-124.2872,48.83319,"A"
-123.6171,48.56704,"A"
-125.3675,49.26528,"A"
-122.6089,49.0922,"A"
-119.8076,49.73385,"A"
-115.5743,50.29765,"A"
-123.3647,48.35765,"A"
-118.188,50.58304,"A"
-127.735,50.8604,"A"
-124.6929,49.4085,"A"
-116.5133,49.41289,"A"
-98.03333,50.25,"A"
-96.17149,50.5697,"A"
-99.11815,52.9884,"A"
-97.595,54.245,"A"
-100.9129,50.91725,"A"
-67.05334,45.6746,"A"
-64.4627,45.98335,"A"
-79.5985,43.2114,"A"
-79.1338,45.01904,"A"
-79.76308,44.86073,"A"
-81.00553,49.16669,"A"
-93.88194,51.03445,"A"
-80.60942,43.62427,"A"
-79.94618,48.03027,"A"
-75.63184,44.53995,"A"
-92.04907,48.36266,"A"
-94.02934,49.40276,"A"
-93.47855,48.60385,"A"
-94.5176,52.6752,"A"
-79.81129,48.51035,"A"
-76.4198,44.61615,"A"
-80.02915,44.15255,"A"
-134.4837,60.36933,"A"
-135.1155,60.69976,"A"
-105.4979,37.57915,"A"
-105.8199,39.67095,"A"
-107.0153,39.1084,"A"
-105.9583,40.79166,"A"
-105.1058,38.8922,"A"
-105.0652,39.21338,"A"
-107.8833,38.49833,"A"
-106.4917,37.30833,"A"
-106.5123,37.32255,"A"
-104.9677,39.42923,"A"
-106.8085,39.6632,"A"
-104.9743,38.8993,"A"
-104.9908,38.54166,"A"
-106.4269,39.18975,"A"
-106.3833,39.26944,"A"
-105.3646,40.57499,"A"
-108.5417,40.45418,"A"
-107.7667,37.75417,"A"
-105.1598,38.753,"A"
-105.9333,40.54167,"A"
-106.2583,39.24998,"A"
-108.2083,37.4625,"A"
-105.1167,38.4,"A"
-104.8604,38.6691,"A"
-106.3,39.25,"A"
-106.2275,39.32385,"A"
-107.0671,39.3375,"A"
-106.6535,40.4521,"A"
-104.9917,38.9006,"A"
-105.4826,37.5969,"A"
-105.2155,39.11636,"A"
-106.8583,37.025,"A"
-104.3786,37.09263,"A"
-106.6417,38.59998,"A"
-106.4417,39.0917,"A"
-106.625,39.45824,"A"
-105.3542,39.31667,"A"
-107.7084,38.875,"A"
-105.1146,38.826,"A"
-105.298,40.00817,"A"
-105.2146,39.0465,"A"
-108.3364,37.33925,"A"
-107.9514,39.16305,"A"
-105.1137,38.0654,"A"
-105.3792,40.17585,"A"
-104.9426,38.5859,"A"
-106.1666,39.7198,"A"
-107.7247,37.83905,"A"
-104.875,38.716,"A"
-105.7854,39.39565,"A"
-106.5445,39.1006,"A"
-105.6385,40.84707,"A"
-106.496,37.37285,"A"
-73.1512,41.36935,"A"
-85.6489,30.98555,"A"
-84.60745,30.6645,"A"
-80.21295,26.5931,"A"
-82.0332,27.0047,"A"
-81.52915,30.2333,"A"
-80.8595,28.3725,"A"
-80.1937,26.27395,"A"
-80.21025,26.08285,"A"
-81.75165,30.05705,"A"
-81.76041,26.15915,"A"
-80.8368,26.06885,"A"
-81.29691,25.91695,"A"
-82.98365,29.6699,"A"
-82.50591,28.50665,"A"
-85.217,30.8724,"A"
-81.62275,29.10635,"A"
-82.05835,29.0599,"A"
-81.90875,29.1951,"A"
-81.9233,29.19395,"A"
-86.5065,30.51295,"A"
-80.93504,28.3609,"A"
-81.12476,27.97255,"A"
-81.0621,28.1382,"A"
-81.19445,27.99245,"A"
-82.6053,28.3836,"A"
-80.93919,28.85025,"A"
-86.9648,30.84015,"A"
-81.3456,29.85375,"A"
-81.96195,29.7351,"A"
-81.8708,26.59885,"A"
-82.45165,27.7068,"A"
-81.5446,28.6901,"A"
-82.55556,29.4179,"A"
-82.3657,29.77535,"A"
-81.1273,29.47035,"A"
-81.0651,26.01535,"A"
-81.68295,29.77295,"A"
-80.13215,27.0099,"A"
-84.20835,30.4836,"A"
-87.1814,30.9905,"A"
-85.76891,30.7599,"A"
-82.52655,28.5716,"A"
-81.3065,25.8972,"A"
-80.8044,27.3973,"A"
-81.80005,29.98085,"A"
-81.4189,30.4544,"A"
-86.6913,30.56775,"A"
-85.6316,30.4664,"A"
-81.9055,29.07655,"A"
-85.95136,30.9854,"A"
-82.929,29.591,"A"
-82.46557,27.28518,"A"
-80.60976,26.61979,"A"
-81.93871,28.00845,"A"
-82.454,27.099,"A"
-81.9742,27.89469,"A"
-82.42,29.098,"A"
-82.438,28.043,"A"
-84.583,30.587,"A"
-81.33,25.927,"A"
-81.35876,27.37341,"A"
-81.6965,28.775,"A"
-81.771,30.069,"A"
-82.6505,29.191,"A"
-80.926,25.141,"A"
-82.44749,28.252,"A"
-81.22285,26.0079,"A"
-82.879,30.3125,"A"
-81.83705,30.2809,"A"
-81.82794,30.05287,"A"
-82.3722,29.1039,"A"
-81.88324,30.10139,"A"
-81.90216,30.03432,"A"
-81.90477,28.78028,"A"
-81.54172,30.23693,"A"
-81.89565,30.10386,"A"
-81.94118,30.11584,"A"
-80.43689,25.51665,"A"
-81.80878,29.43465,"A"
-81.7268,29.3143,"A"
-85.3948,29.93629,"A"
-81.7757,28.86151,"A"
-81.9755,27.7752,"A"
-81.89905,30.10851,"A"
-81.48598,25.95574,"A"
-82.76431,28.19899,"A"
-82.24487,28.14617,"A"
-82.71758,28.29425,"A"
-81.95577,28.44926,"A"
-82.33316,29.58358,"A"
-82.6783,29.47368,"A"
-81.85762,30.08748,"A"
-81.95577,28.44926,"A"
-81.97483,28.50566,"A"
-81.91354,29.94011,"A"
-82.44225,29.39384,"A"
-86.7513,30.6966,"A"
-80.84301,28.93312,"A"
-82.40295,28.78812,"A"
-80.7217,28.31193,"A"
-82.2543,27.20028,"A"
-82.53305,28.78806,"A"
-81.86789,29.36953,"A"
-80.84716,28.48899,"A"
-80.16933,26.80829,"A"
-81.2299,29.83863,"A"
-81.52609,29.28971,"A"
-80.55011,27.78042,"A"
-81.20045,28.54205,"A"
-85.12705,33.26885,"A"
-85,34,"A"
-84.59345,34.28745,"A"
-82.24471,33.3646,"A"
-83.4192,34.6423,"A"
-85.0409,32.0538,"A"
-81.88475,31.8792,"A"
-84.2269,34.70435,"A"
-83.412,30.67,"A"
-81.73075,31.82345,"A"
-84.53352,33.70037,"A"
-84.869,33.5388,"A"
-83.714,34.672,"A"
-81.41267,31.08925,"A"
-82.24886,32.38575,"A"
-83.69085,34.68319,"A"
-84.2532,33.32442,"A"
-83.48067,34.74775,"A"
-82.1341,31.2439,"A"
-83.13654,31.24842,"A"
-84.7681,33.48295,"A"
-81.436,32.0391,"A"
-84.78979,33.80785,"A"
-84.97515,33.81029,"A"
-84.1293,31.43265,"A"
-84.73846,34.1318,"A"
-84.5136,34.48287,"A"
-85.31646,34.42654,"A"
-83.80404,34.64145,"A"
-84.383,34.39965,"A"
-83.26071,31.17384,"A"
-84.58501,34.8155,"A"
-82.86789,34.06705,"A"
-84.48006,34.31955,"A"
-84.5317,33.49565,"A"
-84.73555,33.2706,"A"
